The Death of Stalin,96,7.2,10
GoldenEye,78,7.2,1
The Boy in the Striped Pyjamas,63,7.8,6
Amy,95,7.8,1
Ralph Breaks the Internet,88,7.1,10
Good Time,92,7.4,7
Ip Man 2,96,7.5,9
The Little Prince,93,7.7,9
The Spectacular Now,91,7.1,6
Baahubali 2: The Conclusion,89,8.2,2
Black Mirror: Bandersnatch,92,7.2,1
PK,76,8.1,3
Extraction,68,6.8,9
The Lobster,87,7.2,5
Blue Valentine,87,7.4,8
Zindagi Na Milegi Dobara,91,8.1,9
Green Room,91,7,6
Kung Fu Panda 2,81,7.2,1
The Ballad of Buster Scruggs,91,7.3,8
Cloverfield,77,7,1
Burning,95,7.5,7
The Adventures of Tintin,74,7.3,1
Bolt,89,6.8,8
Neon Genesis Evangelion: The End of Evangelion,88,8.1,3
Chasing Amy,87,7.2,1
The Princess and the Frog,85,7.1,10
Bad Genius,100,7.6,3
The Wicker Man,89,7.5,4
A Single Man,85,7.6,9
Blow,55,7.6,9
The Squid and the Whale,92,7.3,6
My Life as a Zucchini,99,7.8,8
Jim & Andy: The Great Beyond- Featuring a Very Special  Contractually Obligated Mention of Tony Clifton,94,7.7,3
Barfi!,86,8.1,9
Frances Ha,92,7.5,5
Tootsie,90,7.4,3
Solo: A Star Wars Story,70,6.9,9
Steve Jobs,85,7.2,8
Tremors,88,7.1,4
The Croods,71,7.2,7
Locke,91,7.1,10
Bill Burr: I'm Sorry You Feel That Way,100,8.4,9
Starred Up,99,7.4,2
Mudbound,97,7.4,2
Austin Powers: International Man of Mystery,71,7,7
Blue Ruin,96,7.1,4
The Patriot,61,7.2,5
Babel,69,7.4,10
The Square,100,8.1,7
Gerald's Game,90,6.6,10
Miracle,81,7.5,8
Swades,83,8.2,9
Tinker Tailor Soldier Spy,83,7.1,10
The Witch,90,6.9,7
Haider,86,8.1,4
Padman,100,7.9,5
Hush,91,6.6,9
Elizabeth,82,7.4,9
Miss Americana,93,7.4,2
Christopher Robin,73,7.3,1
I Lost My Body,96,7.6,2
I Am Mother,90,6.7,9
Lupin the Third: The Castle of Cagliostro,94,7.7,10
The Autopsy of Jane Doe,86,6.8,5
Virunga,100,8.2,8
Freedom Writers,70,7.5,4
The Master,85,7.2,9
A Serious Man,90,7,1
The King,70,7.2,9
The Breadwinner,95,7.7,4
The Boy Who Harnessed the Wind,87,7.6,7
Article 15,89,8.3,7
The Killing of a Sacred Deer,79,7,3
Lawless,67,7.3,7
Kabhi Khushi Kabhie Gham,100,7.4,4
Charlie and the Chocolate Factory,82,6.6,8
Freaks,87,6.7,2
Hannah Gadsby: Nanette,100,8.2,4
The Mask of Zorro,82,6.7,10
The Natural,82,7.5,9
Equilibrium,40,7.4,4
Arthur Christmas,92,7.1,8
The Rainmaker,83,7.2,6
Winter on Fire: Ukraine's Fight for Freedom,88,8.4,8
Always Be My Maybe,89,6.8,7
The Crying Game,94,7.2,5
War Horse,74,7.2,5
Shot Caller,69,7.3,2
The Invitation,88,6.6,10
A Most Violent Year,89,7,8
The Other Guys,78,6.6,4
Kapoor & Sons,100,7.7,1
On Body and Soul,89,7.6,4
The Fundamentals of Caring,77,7.3,2
Insidious,66,6.8,5
Bill Burr: Paper Tiger,86,8.2,5
Bad Boys,43,6.9,10
The Foreigner,65,7,10
The Danish Girl,67,7.1,1
The Girl with All the Gifts,86,6.6,5
Bird Box,63,6.6,8
The Ring,71,7.1,5
Hostiles,72,7.2,2
Sairat,100,8.3,2
Trumbo,74,7.5,5
LA 92,92,8.2,1
20th Century Women,88,7.3,2
Kal Ho Naa Ho,70,8,8
Swiss Army Man,71,7,6
In This Corner of the World,97,7.8,4
A Ghost Story,91,6.9,8
United 93,90,7.5,5
Patriot Games,72,6.9,10
The Secret Life of Pets 2,60,6.5,4
Hitch,68,6.6,5
The Young Offenders,100,7.1,10
Enemy,71,6.9,7
Mirage,71,7.4,5
Everybody's Everything,100,7.4,6
Indiana Jones and the Kingdom of the Crystal Skull,78,6.1,4
The Guernsey Literary & Potato Peel Pie Society,81,7.4,8
I Don't Feel at Home in This World Anymore,88,6.9,10
The Endless,94,6.5,5
Julie & Julia,77,7,7
The Game Changers,70,7.9,5
Under the Shadow,99,6.9,9
Angel Has Fallen,39,6.4,5
Kon-Tiki,81,7.2,4
Mary Poppins Returns,79,6.7,2
Kajaki,100,7.1,8
The Fear of 13,94,7.7,10
The Night Comes for Us,92,7,4
Blood Father,89,6.4,5
Stree,77,7.6,10
American Factory,97,7.4,8
Code 8,79,6.1,4
Salt,62,6.4,5
The Hundred-Foot Journey,67,7.3,2
The Distinguished Citizen,100,7.5,2
Scooby-Doo on Zombie Island,86,7.8,8
Chasing Coral,100,8.1,7
The End of the Tour,92,7.3,5
The One I Love,82,7.1,2
Underworld,31,7,8
The Death of Mr. Lazarescu,93,7.9,3
Madagascar: Escape 2 Africa,64,6.6,6
The Wolf's Call,92,6.9,3
What Happened to Monday,59,6.9,4
The Willoughbys,90,6.4,6
The White Helmets,100,7.5,2
Suburra,91,7.4,6
The Matrix Revolutions,35,6.8,2
Richard Pryor: Live in Concert,92,8.2,8
Austin Powers: The Spy Who Shagged Me,52,6.6,9
Get Him to the Greek,72,6.4,9
Slow West,92,6.9,8
The Meyerowitz Stories (New and Selected),93,6.9,5
The Battered Bastards of Baseball,100,8,7
The Perfection,83,6.1,6
Ip Man 3,78,7.1,6
Sinister,64,6.8,6
Rush: Beyond the Lighted Stage,90,8.4,9
20 Feet from Stardom,99,7.4,3
The Stanford Prison Experiment,84,6.9,6
My Week with Marilyn,83,7,2
Catfish,80,7.1,8
Secret Superstar,90,7.9,8
Private Life,94,7.2,2
Jarhead,61,7,7
Yes Man,46,6.8,6
For the Love of Spock,100,7.6,5
Goon,81,6.8,10
Ace Ventura: Pet Detective,48,6.9,10
Inequality for All,90,8,3
Olympus Has Fallen,49,6.5,5
Dave Chappelle: Sticks & Stones,35,8.5,10
John Mulaney: Kid Gorgeous at Radio City,100,7.9,2
La Bamba,90,6.9,5
Public Enemies,68,7,7
Supersonic,84,7.9,5
The Edge of Democracy,97,7.1,2
The Polar Express,56,6.6,4
Under the Skin,85,6.3,7
Crip Camp: A Disability Revolution,100,7.8,7
Tell Me Who I Am,95,7.6,7
Hey Arnold! The Jungle Movie,100,7.6,9
Zack and Miri Make a Porno,65,6.5,7
The Score,73,6.8,1
Hamburger Hill,100,6.7,3
9,57,7.1,9
Undefeated,96,7.7,4
Team Foxcatcher,100,7.3,7
A Shaun the Sheep Movie: Farmageddon,97,6.9,4
April and the Extraordinary World,96,7.3,7
The Highwaymen,57,6.9,6
Legend,61,6.9,3
Boy & the World,93,7.6,10
Creep 2,100,6.4,2
Terminator 3: Rise of the Machines,69,6.3,9
Unrest,100,7.7,9
Guru,83,7.7,6
Louis C.K. 2017,100,7.6,3
A Twelve-Year Night,88,7.6,3
Happy as Lazzaro,91,7.6,7
What Happened  Miss Simone?,89,7.6,2
Blue Jay,90,7.3,8
1922,90,6.3,6
Hancock,41,6.4,1
Circus of Books,98,7.1,4
Hail  Caesar!,85,6.3,10
The Pixar Story,86,7.8,3
Child's Play,71,6.6,3
Springsteen On Broadway,95,8.5,1
The Angry Birds Movie 2,73,6.4,3
Obvious Child,90,6.8,1
Awe!,100,7.8,10
American Honey,79,7,9
Last Breath,92,7.7,5
Udta Punjab,91,7.8,1
Den of Thieves,41,7,7
Wadjda,99,7.5,1
The Spiderwick Chronicles,80,6.5,4
The Christmas Chronicles,64,7.1,9
Turbo,67,6.4,9
My Girl,53,6.9,6
22-Jul,80,6.8,1
Adam Sandler: 100 Fresh,92,7.6,1
Remember,70,7.5,3
Triple Frontier,72,6.4,5
Bombshell: The Hedy Lamarr Story,96,7.4,8
Paddleton,89,7.2,3
Bad Boys II,23,6.6,8
Sour Grapes,96,7.3,8
Betting on Zero,100,7.2,7
Delhi Belly,87,7.5,2
Being Elmo: A Puppeteer's Journey,95,7.6,6
Williams,93,7.6,3
It Comes at Night,87,6.2,6
Cuba and the Cameraman,100,8.2,3
Creep,89,6.3,1
The Interview,52,6.5,3
Bobby Robson: More Than a Manager,100,8.2,2
Outbreak,59,6.6,8
Black Snake Moan,66,6.9,1
Bright,28,6.3,8
Cargo,85,6.3,5
Even the Rain,87,7.4,4
Candyman,74,6.6,5
Mary and the Witch's Flower,89,6.8,2
Calibre,93,6.7,10
First They Killed My Father,89,7.2,8
Us and Them,100,7.3,1
Up in Smoke,50,7,7
Final Destination,35,6.7,9
Kill the Messenger,77,6.9,5
Operation Odessa,100,7.8,3
The American Meme,100,7.3,8
Outlaw King,61,6.9,10
21,36,6.8,1
Holding the Man,81,7.4,8
Krisha,95,7.2,9
De Palma,94,7.4,10
Dear Ex,89,7.4,10
Tomorrow Never Dies,57,6.5,7
Veronica,88,6.2,2
The Cakemaker,98,7.2,6
Instructions Not Included,57,7.5,6
Bleed for This,69,6.8,7
Girl,84,7.2,10
The Naked Gun 2½: The Smell of Fear,57,6.9,6
Bareilly's Barfi,86,7.5,2
The Sky Is Pink,72,7.5,4
Chitty Chitty Bang Bang,67,6.9,5
A Wednesday!,,8.1,4
Jodhaa Akbar,75,7.6,6
Handsome Devil,83,7.1,5
Love  Rosie,33,7.2,3
Oceans,81,7.8,10
The Ritual,71,6.3,2
Super Dark Times,89,6.6,7
Tallulah,84,6.7,1
Other People,85,6.8,2
Alpha Dog,54,6.9,4
Spectral,75,6.3,9
The Babysitter,71,6.3,9
Extremely Wicked  Shockingly Evil and Vile,55,6.6,4
Heneral Luna,71,7.6,6
Click,33,6.4,4
The Duchess,62,6.9,5
The Last Man on the Moon,94,7.4,7
The 24 Hour War,100,7.2,7
Mune: Guardian of the Moon,80,7.2,4
The Devil We Know,100,7.7,9
How the Grinch Stole Christmas,50,6.2,7
LA Originals,83,7.3,9
Whisky,100,7.1,6
The Sapphires,91,7,6
Bloodsport,40,6.8,1
Tinker Bell and the Legend of the NeverBeast,75,7.3,9
Get Me Roger Stone,88,7.4,3
Alex Strangelove,86,6.3,10
She's Out of My League,58,6.4,5
Sarah's Key,72,7.5,2
My Happy Family,100,7.4,6
Killing Them Softly,73,6.2,8
Ittefaq,89,7.2,4
6 Underground,36,6.1,4
The Accountant of Auschwitz,100,7.3,10
Echo in the Canyon,92,7,7
Hold the Dark,73,5.6,8
Suffragette,73,6.9,2
The Siege of Jadotville,60,7.2,5
Terminator Salvation,33,6.5,1
Hotel Transylvania 3: Summer Vacation,62,6.3,6
Filmworker,95,7.4,7
Our Souls at Night,90,6.9,8
Mine 9,88,6.7,8
Everybody Knows,78,6.9,4
Retribution,100,6.6,8
Ice Guardians,100,7.5,8
Tinker Bell and the Pirate Fairy,81,6.6,3
The World Is Not Enough,52,6.4,4
Suite Française,76,7,2
Period. End of Sentence.,83,7.4,2
Beyond the Mat,82,7.6,1
Next Gen,80,6.6,6
Cam,93,5.9,10
Divines,83,7.4,9
Shirkers,100,7.4,7
Underworld: Evolution,17,6.7,9
Om Shanti Om,76,6.7,7
How to Change the World,95,7.6,7
Spitfire,94,7.5,7
You Are My Sunday,100,7.7,6
Dear Zindagi,69,7.6,3
Uncorked,93,6.1,3
The Water Diviner,61,7,4
Gaga: Five Foot Two,74,7,1
Austin Powers in Goldmember,54,6.2,8
He Never Died,87,6.4,8
Black Sea,80,6.4,9
Ali's Wedding,92,6.9,6
Event Horizon,27,6.7,6
Mississippi Grind,91,6.4,2
They'll Love Me When I'm Dead,92,7.4,1
Kai Po Che!,76,7.6,4
Badla,57,7.9,1
Young Adult,80,6.2,10
ZZ Top: That Little Ol' Band From Texas,100,7.4,7
Scary Movie,53,6.2,5
The Dirt,42,7,2
Killer Klowns from Outer Space,78,6.2,7
The Exception,74,6.8,4
Spenser Confidential,38,6.2,6
Wheelman,88,6.4,9
While We're Young,84,6.3,4
Die Another Day,57,6.1,6
The Grandmaster,78,6.6,1
Bathtubs Over Broadway,100,7.5,6
Cadillac Records,67,7,9
I am Divine,96,7.6,5
King Jack,94,7,9
The Runaways,70,6.5,4
2012,39,5.8,2
The Half of It,95,7,1
Tigertail,80,6.4,6
Sleeping with Other People,64,6.5,2
What Lies Beneath,46,6.6,7
Fractured,62,6.4,8
Master Z: Ip Man Legacy,89,6.5,9
Neruda,93,6.9,7
One Day,36,7,6
Just Friends,42,6.2,1
Aśoka,100,6.5,1
Harold and Lillian: A Hollywood Love Story,97,8,1
The Grinch,59,6.3,9
Qarib Qarib Singlle,88,7,7
Beasts of No Nation,91,7.7,4
Time Trap,60,6.5,3
Final Destination 2,48,6.2,1
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,100,7.1,3
Dance Academy: The Movie,100,7,4
White Fang,88,6.9,4
All the Bright Places,68,6.5,3
Elena,85,7.6,6
Underworld: Rise of the Lycans,30,6.6,3
Talaash,80,7.2,1
Kevin Hart: Laugh at My Pain,71,7.4,2
Gridiron Gang,43,6.9,4
Hot Rod,39,6.7,5
Bee Movie,50,6.1,6
Trash,66,7.2,7
The Photographer of Mauthausen,83,6.7,2
He's Just Not That Into You,41,6.4,9
Forks Over Knives,59,7.7,1
Bandits,64,6.5,6
Sanju,50,7.8,3
Blame!,82,6.7,3
Quincy,81,7.6,8
DragonHeart,50,6.5,7
Bad Day for the Cut,92,6.5,6
We the Animals,93,6.9,4
Soul Surfer,45,7,10
Rocko's Modern Life: Static Cling,91,7,1
Haywire,80,5.8,5
Pink,100,8.1,10
Stuart Little,67,5.9,2
Cutie and the Boxer,95,7.2,1
The World Is Yours,100,6.4,6
Berlin Syndrome,75,6.3,5
Furie,95,5.8,2
Big Miracle,75,6.5,10
Tramps,95,6.5,2
Parmanu: The Story of Pokhran,50,7.7,10
Kursk,69,6.6,1
Deep Impact,45,6.2,7
The Kindergarten Teacher,89,6.7,6
Stonehearst Asylum,54,6.8,10
Nick Kroll & John Mulaney: Oh  Hello on Broadway,88,7.8,1
The Wandering Earth,75,6,2
Bon Cop Bad Cop,78,6.8,5
Melvin Goes to Dinner,100,6.8,6
Chappaquiddick,81,6.5,3
Miles Davis: Birth of the Cool,93,7.4,6
Mission Control: The Unsung Heroes of Apollo,100,7.5,9
Dukhtar,93,7,5
Red Dawn,46,6.4,1
Kaabil,70,7.1,8
The Company Men,67,6.7,5
Studio 54,90,6.9,7
The Case for Christ,59,6.2,5
Outside In,95,6.6,4
Mowgli: Legend of the Jungle,52,6.5,8
Errementari: The Blacksmith and the Devil,67,6.3,6
Jimmy Neutron: Boy Genius,74,6,9
World Trade Center,67,5.9,7
I Am Kalam,80,8,5
PEEPLI [Live],85,7.4,3
My Scientology Movie,89,6.7,7
Latin History for Morons: John Leguizamo's Road to Broadway,100,7.5,10
Mortal Kombat,47,5.8,1
Behind the Curve,89,6.5,5
Soni,85,7.2,4
Carriers,68,6,6
Tig,77,7.4,3
Patton Oswalt: Annihilation,100,7.2,5
Trixie Mattel: Moving Parts,88,7.3,6
Petta,80,7.3,6
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,95,7,6
Can't Hardly Wait,42,6.5,6
The Confirmation,91,6.4,7
The First Wives Club,50,6.4,4
Colonia,26,7.1,2
Free Fire,68,6.4,8
Life As We Know It,29,6.5,8
To All the Boys: P.S. I Still Love You,75,6,6
Cop Car,80,6.3,10
Urban Cowboy,67,6.3,2
Above the Rim,53,6.6,10
Screwball,94,7.1,4
Prosecuting Evil: The Extraordinary World of Ben Ferencz,100,7.3,6
The Incident,83,6.4,3
Resident Evil: Extinction,24,6.3,6
American Assassin,35,6.2,1
Rang De Basanti,,8.2,10
Open Season,48,6.1,10
Strong Island,100,6.4,2
Resident Evil: Apocalypse,20,6.2,2
Smoke & Mirrors,83,6.9,2
Sky Ladder: The Art of Cai Guo-Qiang,100,7.3,1
Kate & Leopold,50,6.4,4
Raiders!: The Story of the Greatest Fan Film Ever Made,91,6.9,4
Then Came You,59,7,5
The Forest of Love,100,6.4,2
I Called Him Morgan,96,7.3,8
The Money Pit,48,6.4,10
The Angel,75,6.6,6
Burlesque,36,6.4,7
My Masterpiece,86,7.1,9
Mr. Church,24,7.6,5
Murder Mystery,44,6,5
Audrie & Daisy,81,7.2,7
Miss Hokusai,93,6.7,4
Dumplin',63,6.6,4
The Invention of Lying,56,6.4,6
Breath,80,6.7,3
Kodachrome,72,6.8,3
Operation Red Sea,80,6.7,1
Murder Party,100,5.8,8
Woodstock: Three Days That Defined a Generation,84,7.6,10
Laggies,65,6.4,1
Eye for an Eye,88,6.6,6
Cowspiracy: The Sustainability Secret,,8.3,8
Eddie Murphy: Delirious,83,8.2,9
The Aerial,64,7.4,1
Fire in Paradise,80,7.4,10
Cookie's Fortune,86,6.8,3
Before I Wake,61,6.2,2
Layla M.,100,6.7,4
Mountain,87,7.2,9
Center Stage,42,6.7,9
Mr. Right,44,6.3,7
Tamasha,67,7.3,5
Just Another Love Story,74,7.2,4
Quartet,80,6.8,9
Dil Chahta Hai,,8.1,6
Bikram: Yogi  Guru  Predator,96,6.7,7
Dolphin Tale 2,65,6.4,4
No One Killed Jessica,80,7.2,5
I Am Bolt,85,7.1,6
Evolution,43,6.1,2
BuyBust,82,5.8,3
Advantageous,84,6.2,6
The Iron Lady,52,6.4,6
Son of a Gun,62,6.5,4
Rugrats in Paris: The Movie,76,6.1,7
On My Skin,60,7.3,1
Sweetheart,94,5.7,5
Raees,67,6.8,5
The Rover,66,6.4,6
Paan Singh Tomar,,8.2,10
The Other Side of the Wind,83,6.8,7
The Garden of Words,,7.5,2
The Legend of 420,100,6.7,9
Let It Fall: Los Angeles 1982-1992,100,7.7,4
Manto,71,7.4,9
Rainbow,73,8,2
Walking Out,90,5.8,7
Holy Hell,75,7.1,7
After,17,5.4,2
Jersey Boys,51,6.8,8
Flavors of Youth,80,6.6,9
Nappily Ever After,71,6.4,10
Final Destination 3,43,5.8,5
To Wong Foo  Thanks for Everything! Julie Newmar,41,6.6,9
Elizabeth: The Golden Age,34,6.8,3
37 Seconds,85,7.3,4
A Futile and Stupid Gesture,61,6.8,10
The Green Hornet,44,5.8,2
Dear John,29,6.3,4
Heroin(e),100,6.8,4
Guzaarish,67,7.4,3
Imperial Dreams,91,6.8,6
Between Two Ferns: The Movie,77,6.1,2
13 Sins,65,6.3,2
Kiss the Girls,29,6.6,10
Newness,69,6.4,4
Mr. Roosevelt,100,6.2,3
Justin Timberlake + The Tennessee Kids,100,7.8,6
Battle: Los Angeles,36,5.7,7
Hondros,100,7.5,9
When We First Met,56,6.4,2
(T)ERROR,91,6.6,7
Kuch Kuch Hota Hai,,7.6,4
Trailer Park Boys: The Movie,57,7.2,4
G.O.R.A.,,8,1
Phantom Boy,88,6.6,10
Survivor's Guide to Prison,100,7.1,10
Transcendence,20,6.3,1
Jagga Jasoos,90,6.5,1
The Perfect Date,65,5.8,5
A Fortunate Man,80,7.2,3
Kahaani,,8.1,1
Andaz Apna Apna,,8.2,5
Let It Snow,81,5.8,8
Middle School: The Worst Years of My Life,63,6.1,6
The Little Hours,78,5.8,5
Aval,100,6.8,10
The Unknown Known,82,7,7
Kahlil Gibran's The Prophet,65,7.1,1
The Princess Switch,75,6,2
The Blackcoat's Daughter,73,5.9,6
What We Started,85,7,8
Let There Be Light,83,7.4,2
Into the Forest,76,5.8,2
God Knows Where I Am,84,7.3,6
Stuart Little 2,81,5.4,4
The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America,100,7.5,6
Sand Storm,92,6.8,4
From Paris with Love,38,6.5,9
Luck by Chance,80,7,2
I Am Jane Doe,91,6.8,10
Pee-wee's Big Holiday,80,6.1,9
Promised Land,52,6.6,10
Carrie Pilby,62,6.6,4
Seeing Allred,100,6.8,7
Goldstone,76,6.5,7
The Signal,61,6.1,3
The Red Sea Diving Resort,30,6.5,10
Self/less,19,6.5,5
The Burial of Kojo,100,6.4,9
Horse Girl,72,5.9,3
Headshot,72,6.3,10
Joan Didion: The Center Will Not Hold,89,7.4,10
Circle,60,6,5
Chris Rock: Tamborine,100,6.5,6
The Monster,81,5.4,6
Sergio,44,6.1,8
The C Word,100,7.6,3
John Mulaney: New in Town,,8.3,10
In the Shadow of the Moon,59,6.2,10
Mirror Mirror,50,5.6,10
Hasee Toh Phasee,80,6.8,4
Bhavesh Joshi Superhero,63,7.6,8
Brooklyn's Finest,44,6.7,8
Wakefield,74,6.3,3
Wish I Was Here,46,6.7,5
Lu Over the Wall,76,6.8,1
Man of Tai Chi,70,6.1,5
Comedian,76,6.9,5
Alive and Kicking,100,6.6,2
The Secret,74,5.6,5
Louis C.K.: Hilarious,,8.5,6
Notes on Blindness,95,7.1,2
The Kissing Booth,17,6.1,9
Horns,41,6.5,9
Emelie,88,5.4,8
Best Worst Thing That Ever Could Have Happened...,95,7.5,7
Go!,78,5.9,7
First Match,82,6.3,9
Grass is Greener,100,7.2,1
The Short Game,84,7.4,8
Sunday's Illness,94,6.9,8
Ten Years,100,6.7,1
Chicken Little,37,5.7,10
Kicking and Screaming,57,6.8,9
The Ravenous,88,5.9,4
Animal World,70,6.5,2
Michelle Wolf: Joke Show,100,7.1,5
Kevin Hart: Let Me Explain,61,6.8,8
Fun with Dick and Jane,28,6.2,1
Seoul Searching,75,7.1,6
The Keeping Hours,80,6.3,4
Kickboxer: Retaliation,92,5,2
Weed the People,100,7,9
Time Share,95,6,10
Johnny English Reborn,38,6.3,5
Fire in the Blood,90,7.7,7
Dil Dhadakne Do,64,6.8,4
6 Days,63,6.2,2
Morris from America,88,6.2,5
Joshua: Teenager vs. Superpower,93,7,5
Highway,88,7.7,6
Sweet Virginia,78,6.2,4
Chloe,51,6.3,6
Manson Family Vacation,100,5.8,10
Benji,60,6.3,6
Roll Red Roll,100,7.1,5
All About Nina,86,6,5
Heartbreakers,53,6.2,4
Mercury 13,100,6.8,1
Kevin Hart: What Now?,76,5.9,6
Michael Bolton's Big  Sexy Valentine's Day Special,100,6.7,8
All Day and a Night,53,5.9,8
ARQ,43,6.4,7
Nighthawks,70,6.4,6
Quién te cantará,90,7,6
Romeo Must Die,32,6.1,9
Love Off the Cuff,100,6.5,7
47 Meters Down,53,5.6,6
Udaan,,8.2,9
Barakah Meets Barakah,100,6.2,1
Ghost Rider,26,5.2,10
FYRE: The Greatest Party That Never Happened,91,7.2,2
Cardboard Gangsters,94,6.4,5
Khosla Ka Ghosla!,,8.3,7
Sierra Burgess Is a Loser,66,5.8,9
Same Kind of Different as Me,33,6.6,4
Cult of Chucky,78,5.2,10
Tremors 2: Aftershocks,63,6,10
May the Devil Take You,83,6,7
Invader ZIM: Enter the Florpus,100,7.5,5
Dovlatov,78,6.4,4
Jupiter Ascending,27,5.3,5
The Occupant,50,6.3,6
Shutter,,7.1,10
E-Team,82,7.1,6
Class Rank,86,6.4,1
Wildling,70,5.5,1
Velvet Buzzsaw,62,5.7,5
Win It All,85,6.2,4
Sprinter,80,6,2
Palm Trees in the Snow,86,7.4,5
Nacho Libre,39,5.7,3
Chasing Trane,76,7.3,1
Lady J,83,6.9,9
Voyeur,77,6.2,2
The Breaker Upperers,89,5.9,10
Dinner for Schmucks,41,5.9,2
Mike Birbiglia: My Girlfriend's Boyfriend,100,8,2
School Daze,58,6,5
The Knight Before Christmas,75,5.5,5
Mitt,83,6.9,4
Terrifier,69,5.6,4
Resident Evil: Afterlife,22,5.8,2
Conor McGregor: Notorious,50,7.2,6
Khoobsurat,80,6.4,2
Game Over,55,7.1,6
The Ballad of Lefty Brown,78,6.3,2
Main Hoon Na,,7,8
The Untold Tales of Armistead Maupin,91,7.6,1
The Space Between Us,16,6.4,5
The Physician,,7.2,1
Karthik Calling Karthik,80,7,7
Ginger & Rosa,78,6.3,3
White Girl,72,5.7,3
The Time Machine,29,6,6
Look Who's Back,,7.1,4
Ellen DeGeneres: Relatable,92,6.5,1
Kabhi Alvida Naa Kehna,58,6.1,3
The Drug King,80,6.1,10
Long Time Running,86,7.8,8
Maps to the Stars,61,6.2,2
Lovesong,83,6.3,1
Looney Tunes: Back in Action,56,5.7,4
Homecoming: A Film by Beyoncé,98,7.4,1
A Christmas Prince,73,5.7,5
Occupation,50,5.1,4
Marc Maron: Too Real,80,7.2,5
Steal a Pencil for Me,95,7.5,3
Faith  Hope & Love,80,6.1,2
The Bling Ring,59,5.6,4
Pokémon the Movie: The Power of Us,71,6.3,4
Chronicle of an Escape,67,7.2,7
The Tourist,20,6,5
God of War,80,6.4,1
Menashe,96,6.5,3
Lez Bomb,89,5,7
National Bird,100,7.1,7
